NAME,SYMBOL,LAST,CHANGE,%CHANGE,YTD %CHG,52WK%CHG,YIELD,PE,50 D MA,200 D MA,ANNUAL H,ANNUAL L,VLM,VLM CROSSES 50 D AVG VLM (H or L),
National Fuel Gas,NFG,55.71,-0.14,-0.25,-1.642,-1.811,2.98,21.26,56.23,56.55,61.25,50.61,205K,-324466.63,
Nike,NKE,58.05,4.88,9.18,14.204,-3.678,1.24,23.13,53.49,53.53,60.33,49.01,25.86M,15646391,
Naspers,NPSNY,20.58,1.03,5.27,40.766,27.445,0.135,931.09,20.246,17.279,21.97,13.71,405K,179907.23,
Nvidia,NVDA,145.2,-1.48,-1.01,36.031,212.019,0.386,48.24,133.24,102.83,168.5,46.03,10.86M,-11350925,
Novo Nordisk,NVO,42.8,0.39,0.92,19.353,-21.142,2.626,18.92,41.4,37.62,57.41,30.89,731K,-1482211,
Crude Oil Total Return Index,OIL,4.79,0.08,1.63,-24.329,-24.64,0,,5.04,5.66,6.53,4.45,1M,-2306614,Crude Oil Total Return Index
Oracle ,ORCL,50.38,0.17,0.35,31.027,22.648,1.509,22.77,45.79,41.9,51.85,37.62,8.31M,-5112869,
O'Reilly Auto Parts,ORLY,216.84,0.8,0.37,-22.097,-20.31,0,19.77,243.03,264.49,292.84,215.76,661K,-839394.38,
Occidental Petroleum,OXY,59.83,0.03,0.06,-16.004,-20.858,5.081,NA,60.64,66.6,78.48,57.2,1.86M,-3337722.5,
Palladium Trust,PALL,80.32,-0.83,-1.02,23.171,40.861,0,,78.94,72.08,86.12,56.66,9K,-27861.96,Palladium Trust
Palo Alto Networks,PANW,134.59,-0.11,-0.08,7.629,9.834,0,NA,123.42,134.24,165.69,107.31,425K,-1615356.13,
Paychex,PAYX,57.04,0.36,0.64,-6.307,-4.723,3.226,25.24,58.87,59.03,63.03,52.78,1.05M,-960588.13,
Pacific Gas and Electric Company,PCG,66.57,0.47,0.72,9.544,3.411,3.184,18.14,67.39,63.59,70.32,57.6,1.24M,-1459456,
The Priceline Group,PCLN,1876.46,1.36,0.07,28.053,50.35,0,42.37,1848.4,1644.34,1927.13,1240.01,201K,-313180.22,
PepsiCo,PEP,115.83,0.65,0.56,10.704,8.722,2.78,25.02,115.22,108.74,118.24,98.5,1.27M,-2163205,
Pfizer,PFE,33.67,0.04,0.12,3.664,-4.487,3.802,28.53,33.04,32.94,37.39,29.83,4.57M,-17764779,
Procter & Gamble,PG,87.15,0.17,0.19,3.651,2.74,3.165,15.96,87.75,87.41,92,81.18,1.81M,-4947892.5,
Polaris Industries,PII,92.01,0.32,0.35,11.676,12.145,2.521,36.66,86.87,83.72,99,70.14,112K,-618764.88,
Prologis,PLD,58.7,0.01,0.02,11.195,19.678,2.998,26.21,56.05,52.49,59.49,45.93,1.23M,-1440186.5,
Philip Morris International,PM,118.23,1.15,0.98,29.227,15.1,3.519,26.16,116.32,103.53,123.55,86.78,936K,-2752867.25,
PPG Industries,PPG,109.69,0.04,0.04,15.756,5.281,1.459,33.54,108.87,101.62,113.49,89.64,286K,-993525.63,
PPL Corporation,PPL,38.81,0.15,0.39,13.979,2.411,4.071,14.54,38.95,35.92,40.2,32.08,843K,-2475330.25,
Platinum Trust,PPLT,88.11,0.1,0.12,1.967,-11.029,0,,89.51,92.03,113.77,85.31,46K,-9700.62,Platinum Trust
Prudential Financial,PRU,108.32,-0.06,-0.06,4.094,51.92,2.77,11,106.41,101.44,114.55,67.51,520K,-1441025.38,
Public Storage,PSA,207.9,0.33,0.16,-6.98,-18.788,3.848,29.53,212.7,216.68,260.83,200.65,213K,-839147.13,
Phillips 66,PSX,82.66,0.79,0.96,-4.34,3.189,3.387,25.67,78.73,80.65,88.87,73.67,797K,-1533269,
Astra International,PTAIY,13.5,-0.02,-0.15,10.656,21.473,1.326,,13.264,12.538,13.83,10.7,14K,-11914.04,
Praxair,PX,131.61,-0.06,-0.05,12.305,17.155,2.393,24.69,130.49,121.29,138.69,110.12,513K,-865784.75,
PayPal,PYPL,54.14,0.73,1.37,37.167,46.316,0,45.88,50.56,43.47,55.14,35.59,3.22M,-5539671,
Petrobras Argentina,PZE,12.08,0.12,0.99,72.08,90.446,0.607,26.26,12.31,9.01,13.47,4.66,7K,-35511.24,
Qualcomm,QCOM,55.39,0.32,0.58,-15.031,2.819,4.116,18.47,56.11,60.61,71.62,51.05,3.82M,-7269380,
Ferrari,RACE,86.42,0.47,0.55,48.641,109.993,0.79,33.65,84.21,65.9,91.94,38.8,237K,-334700.19,
Royal Dutch Shell,RDS'A,53.04,-0.15,-0.28,-2.464,-3.676,7.089,28.67,53.74,52.54,56.39,46.57,1.51M,-1818203.5,
Ross Stores,ROST,57.56,0.26,0.45,-12.241,1.076,1.112,19.72,62.23,64.81,69.81,55.22,986K,-2265500.5,
Red Robin,RRGB,65.9,-1.25,-1.86,16.844,41.788,0,99.85,64.87,53.99,74.11,40.85,110K,-344907.34,
Raytheon,RTN,160.92,1.29,0.81,13.324,18.007,1.982,20.76,160.03,149.49,165.32,132.89,360K,-1098816.13,
Sprint ,S,8.16,0.01,0.12,-3.088,79.912,0,NA,8.29,8.05,9.65,4.36,3.05M,-14461004,
Sanderson Farms,SAFM,115.94,-0.9,-0.77,23.048,34.892,0.828,11.91,118.65,99.33,129.5,74.07,102K,-290271.59,
Santander Group,SAN,6.66,-0.12,-1.84,28.571,72.959,3.444,15.11,6.6,5.53,6.99,3.63,5.32M,-3293889,
SAP,SAP,104.61,0.73,0.7,21.034,38.47,1.312,32.13,104.5,93.66,108.72,73.33,527K,-220660.44,
Starbucks,SBUX,58.59,0.24,0.41,5.53,2.171,1.707,29.15,61.08,57.25,64.87,50.84,3.19M,-5106426.5,
Charles Schwab ,SCHW,42.91,-0.1,-0.24,8.715,69.933,0.746,30.65,40.21,38.45,44.1,23.83,2.84M,-4682375,
Shake Shack,SHAK,34.87,-0.09,-0.26,-2.571,-4.035,0,65.79,36.49,35.13,42.94,30.36,148K,-716359,
Shiloh Industries,SHLO,11.76,-0.23,-1.92,70.333,64.609,0,25.87,12.58,10.4,16.69,6.5,31K,-69479.02,
Shopify,SHOP,87.77,1.37,1.58,104.735,180.884,0,NA,88.1,60.07,100.8,29.97,1.07M,-1419426.5,
Sherwin-Williams,SHW,352.62,-0.02,-0.01,31.212,20.08,0.964,27.66,340.79,299.11,362.57,239.48,265K,-344122.88,
1-3 Year Treasury Bond ETF,SHY,84.5,0.01,0.01,0.059,-0.973,0.768,,84.53,84.58,85.35,84.23,359K,-570869,1-3 Year Treasury Bond ETF
Siemens,SIEGY,68.9,0.04,0.06,12.563,34.243,2.063,36.89,71.13,64.03,73.42,48.5,76K,-94538.3,
Sirius XM,SIRI,5.45,0.07,1.3,22.472,35.696,0.734,36.33,5.1,4.75,5.53,3.91,16.34M,-11850805,
