NAME,SYMBOL,LAST,CHANGE,%CHANGE,YTD %CHG,52WK%CHG,YIELD,PE,50 D MA,200 D MA,ANNUAL H,ANNUAL L,VLM,VLM CROSSES 50 D AVG VLM (H or L),
Verizon Communications,VZ,44.47,0.06,0.12,-16.692,-20.469,5.195,14.82,46.07,49.12,56.95,44.39,5.13M,-11029983,
Walgreens,WBA,77.41,-0.95,-1.21,-6.464,-5.884,1.938,19.5,82.3,82.84,88,75.18,3.15M,-1829919,
Wells Fargo,WFC,55.37,-0.41,-0.74,0.472,17.853,2.745,13.84,53.47,52.99,59.99,43.55,7.31M,-11555246,
Waste Management,WM,73.27,0.25,0.34,3.328,10.186,2.32,26.74,72.83,69.88,74.58,61.08,526K,-1156247.63,
Walmart,WMT,75.82,-0.11,-0.15,9.693,3.985,2.691,17.19,76.96,71.75,80.47,65.28,2.28M,-7122939,
Global Timber & Forestry ETF,WOOD,61.1,0.22,0.36,14.03,34.519,1.541,,60.29,55.35,62.64,44.44,3K,-11639.94,Global Timber & Forestry ETF
West Pharmaceutical Services,WST,94.43,0.01,0.01,11.317,24.433,0.551,38.86,94.83,84.18,99.91,70.17,102K,-226525.59,
Weyerhaeuser,WY,33.47,0.4,1.19,11.233,11.085,3.705,23.08,33.48,32.25,35.5,28.58,903K,-2528235,
Wynn Resorts,WYNN,134.65,1.91,1.44,55.797,46.47,1.484,51.25,128.05,106.07,139.67,82.51,743K,-1325952.75,
ExxonMobil,XOM,80.92,0.22,0.27,-10.348,-13.911,3.806,33.71,81.75,84.28,95.55,79.26,5.05M,-6647039,
